,from,to,weight
369,A28,A30,90
370,A30,A31,90
371,A31,A32,120
372,A32,A33,90
373,A33,A34,90
374,A34,A36,120
375,A36,A38,120
376,A38,A40,180
377,A40,A41,120
378,A41,A42,90
379,A42,A43,120
380,A43,A44,90
381,A44,A45,90
382,A45,A46,60
383,A46,A47,120
384,A47,A48,90
385,A48,A49,120
386,A49,A50,90
387,A50,A51,90
388,A51,A52,120
389,A52,A53,90
390,A53,A54,90
391,A54,A55,150
392,A55,A57,90
393,A57,A59,90
394,A59,A60,90
395,A60,A61,90
396,A61,H02,240
397,H02,H03,120
398,H03,H04,390
399,H04,H06,450
400,H06,H07,270
401,H07,H08,120
402,H08,H09,90
403,H09,H10,120
404,H10,H11,90
405,A09,A12,210
406,A12,A15,210
407,A15,A24,540
408,A24,A27,150
409,A28,A31,150
410,A32,A34,210
411,A42,A46,300
412,A46,A48,150
413,A48,A51,210
414,A51,A55,330
415,A61,A63,90
416,A63,A64,90
417,A64,A65,90
418,H02,H01,60
419,H01,A61,180
420,H15,H14,120
421,H14,H13,120
422,H13,H12,90
423,H12,H04,210
424,D40,D39,120
425,D39,D35,240
426,D35,D31,270
427,D31,D28,150
428,D28,D26,120
429,D26,D25,210
430,D25,D24,120
431,D24,R30,90
432,R30,D22,480
433,D22,D21,120
434,D21,D20,120
435,D20,D17,180
436,D17,D16,90
437,D16,D15,90
438,D15,D14,210
439,D14,A24,150
440,A14,D13,90
441,D13,D12,90
442,D12,D11,90
443,D11,D10,150
444,D10,D09,120
445,D09,D08,120
446,D08,D07,90
447,D07,D06,90
448,D06,D05,90
449,D05,D04,90
450,D04,D03,120
451,D07,D05,210
452,D01,D03,240
453,D13,A15,210
454,R30,R31,180
455,R31,R32,120
456,R32,R33,90
457,R33,R34,120
458,R34,R35,90
459,R35,R36,90
460,R36,B12,240
461,B12,B13,120
462,B13,B14,90
463,B14,B15,120
464,B15,B16,90
465,B16,B17,120
466,B17,B18,90
467,B18,B19,90
468,B19,B20,90
469,B20,B21,240
470,B21,B22,90
471,B22,B23,300
472,B23,D43,240
473,D22,R31,630
474,R31,R36,330
475,D07,D13,450
476,G05,G06,90
477,G06,G07,150
478,G07,F05,90
479,F05,F06,90
480,F06,F07,90
481,F07,G08,90
482,G08,G09,90
483,G09,G10,120
484,G10,G11,60
485,G11,G12,120
486,G12,G13,90
487,G13,G14,90
488,G14,G15,90
489,G15,G16,90
490,G16,G18,90
491,G18,G19,90
492,G19,G20,120
493,G20,G21,120
494,G21,F09,90
495,F09,F11,180
496,F11,F12,90
497,F12,D14,90
498,D14,A25,270
499,A34,E01,120
500,G08,G14,420
501,G14,G21,360
502,F01,F03,180
503,F03,F06,210
504,F06,G08,150
505,G07,F06,180
506,F05,F04,90
507,F04,F03,90
508,F03,F02,90
509,F02,F01,120
510,D43,D42,90
511,D42,F39,90
512,F39,F38,120
513,F38,F36,90
514,F36,F35,120
515,F35,F34,90
516,F34,F33,90
517,F33,F32,90
518,F32,F31,60
519,F31,F30,60
520,F30,F29,90
521,F29,F27,120
522,F27,F26,90
523,F26,F25,150
524,F25,F24,90
525,F24,F23,90
526,F23,F22,90
527,F22,F21,120
528,F21,F20,90
529,F20,A41,120
530,A41,F18,90
531,F18,F16,150
532,F16,F15,60
533,F15,F14,90
534,F14,D21,90
535,D20,D19,90
536,D19,D18,90
537,D18,D17,90
538,D15,B10,90
539,B10,B08,150
540,B08,B06,150
541,B06,B04,120
542,B04,G14,360
543,A41,F24,420
544,F24,F27,240
545,S01,S03,120
546,S03,S04,90
547,S04,D26,180
